date,vix,term_spread,vix_rolling_z,spike,spike_probability,signal
2019-07-09,14.0900001525879,1.47999954223633,-0.575880241238621,0,0.13232365,CALM
2019-07-10,13.0299997329712,2.15999984741211,-0.830340504928294,0,0.2667125,CALM
2019-07-15,12.6800003051758,2.35999965667725,-0.916313132787956,0,0.49993455,CALM
2019-07-16,12.8599996566772,2.36000061035156,-0.872865291061547,0,0.5052248,SPIKE_RISK
2019-07-17,13.9700002670288,1.84999942779541,-0.606401612524774,0,0.583642,SPIKE_RISK
2019-07-22,13.5299997329712,1.94000053405762,-0.717000770666228,1,0.8105931,SPIKE_RISK
2019-07-23,12.6099996566772,2.32000064849854,-0.939985206543885,1,0.76967967,SPIKE_RISK
2019-07-24,12.0699996948242,2.49000072479248,-1.07166509374562,1,0.610304,SPIKE_RISK
2019-07-25,12.7399997711182,2.3100004196167,-0.914028424551998,1,0.6930316,SPIKE_RISK
2019-07-26,12.1599998474121,2.52999973297119,-1.05693984071463,1,0.6954496,SPIKE_RISK
2019-07-29,12.8299999237061,2.17000007629395,-0.898128547747889,1,0.6848619,SPIKE_RISK
2019-07-30,13.9399995803833,1.76000022888184,-0.630599215991003,1,0.76999706,SPIKE_RISK
2019-07-31,16.1200008392334,0.789999008178711,-0.104024345674504,1,0.8328498,SPIKE_RISK
2019-08-02,17.6100006103516,0.279998779296875,0.24976501177442,1,0.74740434,SPIKE_RISK
2019-08-05,24.5900001525879,-2.69000053405762,1.91941549867309,0,0.047744866,CALM
2019-08-06,20.1700000762939,-0.479999542236328,0.84693879144667,0,0.059337743,CALM
2019-08-07,19.4899997711182,0.0100002288818359,0.676774647640322,0,0.10809477,CALM
2019-08-08,16.9099998474121,0.950000762939453,0.0499866223933443,1,0.7942905,SPIKE_RISK
2019-08-09,17.9699993133545,0.590000152587891,0.301291290390187,1,0.7163497,SPIKE_RISK
2019-08-12,21.0900001525879,-0.590000152587891,1.04880979731014,0,0.13292056,CALM
2019-08-13,17.5200004577637,1.01000022888184,0.178473156408691,1,0.7964216,SPIKE_RISK
2019-08-14,22.1000003814697,-0.80000114440918,1.28059956031506,0,0.09699783,CALM
2019-08-15,21.1800003051758,-0.110000610351562,1.04847977732043,0,0.116837546,CALM
2019-08-16,18.4699993133545,1.23000144958496,0.385003371362493,0,0.37510008,CALM
2019-08-19,16.8799991607666,1.48000144958496,-0.0053989821144201,1,0.863817,SPIKE_RISK
2019-08-20,17.5,1.3700008392334,0.141333920986893,0,0.3482374,CALM
2019-08-21,15.8000001907349,1.91999912261963,-0.273263065197436,1,0.7713567,SPIKE_RISK
2019-08-22,16.6800003051758,1.54999923706055,-0.061575567564143,1,0.59217954,SPIKE_RISK
2019-08-23,19.8700008392334,0.489999771118164,0.714441341949054,0,0.227193,CALM
2019-08-26,19.3199996948242,0.5,0.574883069522423,0,0.14908019,CALM
2019-08-27,20.3099994659424,0.329999923706055,0.811433898269157,0,0.13003016,CALM
2019-08-28,19.3500003814697,0.69999885559082,0.571241117469354,0,0.12569836,CALM
2019-08-29,17.8799991607666,1.15000152587891,0.206708792746701,0,0.30306304,CALM
2019-08-30,18.9799995422363,0.560001373291016,0.471478389319322,0,0.15839396,CALM
2019-09-03,19.6599998474121,0.460000991821289,0.628059252352458,0,0.13264774,CALM
2019-09-04,17.3299999237061,1.47999954223633,0.0499547553243032,0,0.32770568,CALM
2019-09-05,16.2700004577637,1.80999946594238,-0.215823218598264,0,0.42708722,CALM
2019-09-06,15.0,2.45999908447266,-0.535123649514388,0,0.2068866,CALM
2019-09-10,15.1999998092651,2.21000003814697,-0.495918131539422,0,0.13289359,CALM
2019-09-11,14.6099996566772,2.49000072479248,-0.647386277978746,0,0.12043081,CALM
2019-09-12,14.2200002670288,2.58999919891357,-0.748307143145428,0,0.1821695,CALM
2019-09-13,13.7399997711182,2.93000030517578,-0.870401770616171,1,0.67148167,SPIKE_RISK
2019-09-17,14.4399995803833,2.78999996185303,-0.702545094661134,1,0.6571035,SPIKE_RISK
2019-09-18,13.9499998092651,2.91000080108643,-0.830041480362951,1,0.76321715,SPIKE_RISK
2019-09-19,14.0500001907349,2.74000072479248,-0.808641370554126,1,0.73978734,SPIKE_RISK
2019-09-20,15.3199996948242,2.38999938964844,-0.49249154037448,1,0.81996393,SPIKE_RISK
2019-09-23,14.9099998474121,2.96000099182129,-0.597820608351487,1,0.8375022,SPIKE_RISK
2019-09-24,17.0499992370605,1.5,-0.0555152137283951,1,0.85311013,SPIKE_RISK
2019-09-25,15.960000038147,2.03999996185303,-0.333493630823793,1,0.83221465,SPIKE_RISK
2019-09-26,16.0699996948242,2.05000114440918,-0.305608867019267,1,0.7600406,SPIKE_RISK
2019-09-27,17.2199993133545,1.53000068664551,-0.0066089722041234,0,0.48602486,CALM
2019-10-01,18.5599994659424,0.790000915527344,0.352001459161247,0,0.2434355,CALM
2019-10-02,20.5599994659424,0.180000305175781,0.870480029933169,0,0.14064847,CALM
2019-10-03,19.1200008392334,0.659999847412109,0.496094134288939,0,0.17086042,CALM
2019-10-04,17.0400009155273,1.54999923706055,-0.041373036769561,0,0.7046337,SPIKE_RISK
